City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
212,Teguise,ES,2020-05-09 19:38:52,29.06,-13.56,71.6,64,20,16.11,few clouds,0.0,0.0
213,Soroti,UG,2020-05-09 19:43:14,1.71,33.61,68.18,94,100,7.0,moderate rain,0.0,0.0
214,Presidencia Roque Saenz Pena,AR,2020-05-09 19:43:15,-26.79,-60.44,77.0,34,0,8.77,clear sky,0.0,0.0
215,Palenque,MX,2020-05-09 19:43:15,17.52,-91.97,94.23,47,99,7.54,overcast clouds,0.0,0.0
216,Pangody,RU,2020-05-09 19:43:15,65.85,74.49,32.88,93,12,7.34,few clouds,0.0,0.0
217,Tondela,PT,2020-05-09 19:43:15,40.52,-8.08,59.0,90,50,1.01,light rain,0.0,0.0
218,Porohy,UA,2020-05-09 19:43:16,48.69,24.26,47.98,85,4,4.21,clear sky,0.0,0.0
219,Lorengau,PG,2020-05-09 19:43:16,-2.02,147.27,82.24,76,3,4.99,clear sky,0.0,0.0
220,Jumla,NP,2020-05-09 19:43:16,29.27,82.18,48.92,64,76,2.28,broken clouds,0.0,0.0
221,Tautira,PF,2020-05-09 19:43:16,-17.73,-149.15,84.2,70,36,4.7,scattered clouds,0.0,0.0
222,Muhos,FI,2020-05-09 19:43:17,64.81,25.99,39.2,64,0,9.17,clear sky,0.0,0.0
223,Bandarbeyla,SO,2020-05-09 19:43:17,9.49,50.81,83.1,74,0,9.95,clear sky,0.0,0.0
224,Sitka,US,2020-05-09 19:43:17,57.05,-135.33,62.6,42,75,3.36,broken clouds,0.0,0.0
225,Nhulunbuy,AU,2020-05-09 19:43:17,-12.23,136.77,75.2,83,35,4.7,scattered clouds,0.0,0.0
226,Eureka,US,2020-05-09 19:43:18,40.8,-124.16,62.01,70,100,3.0,overcast clouds,0.0,0.0
227,Makasar,ID,2020-05-09 19:43:18,-5.14,119.42,75.2,100,20,2.24,few clouds,0.0,0.0
228,Namibe,AO,2020-05-09 19:38:41,-15.2,12.15,81.68,50,0,4.61,clear sky,0.0,0.0
